,,,,,,,,,,,,,,,VALIDAZIONE CATEGORIE,,,,,,,,
FAMIGLIA,ITEM,"FABTEK
CODE","Codice
Oracle SAPIO","DIAMETRO
",MATERIALE,CONNESSIONE,ARTICOLO (DESCIRZIONE),FOTO,Unità Di Misura,FORNITORE,Codice Fornitore, Link Datasheet, Link 3D View, LINK SPEC, UPW, SW, PV, GAS NON UHP, GAS UHP, VDM, PCW, DRAIN, EXHAUST
FITTING,CURVA 90°,20SW200001,20SAP200001,DN 63,PP STD - PN10,Butt Welded / IR,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),727018622,,,,,X,,,,,,X,
FITTING,CURVA 90°,20SW200002,20SAP200002,DN 50,PP STD - PN10,Butt Welded / IR,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),727018611,,,,,X,,,,,,X,
FITTING,CURVA 90°,20SW200003,20SAP200003,DN 40,PP STD - PN10,Butt Welded / IR,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),727018610,,,,,X,X,,,,,X,
FITTING,CURVA 90°,20SW200004,20SAP200004,DN 32,PP STD - PN10,Butt Welded / IR,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),727018609,,,,,X,X,,,,,X,
FITTING,CURVA 90°,20SW200005,20SAP200005,DN 25,PP STD - PN10,Butt Welded / IR,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),727018608,,,,,X,X,,,,,X,
FITTING,CURVA 90°,20SW200006,20SAP200006,DN 20,PP STD - PN10,Butt Welded / IR,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),727018607,,,,,X,X,,,,,X,
FITTING,CURVA 90°,20SW200007,20SAP200007,DN 15,PP STD - PN10,Butt Welded / IR,ELBOW 90°,#VALUE!,Pcs,GF (George Fischer),727018606,,,,,X,X,,,,,X,
FITTING,CURVA 45°,20SW200008,20SAP200008,DN 63,PP STD - PN10,Butt Welded / IR,ELBOW 45° ,#VALUE!,Pcs,GF (George Fischer),727158512,,,,,X,,,,,,X,
FITTING,CURVA 45°,20SW200009,20SAP200009,DN 50,PP STD - PN10,Butt Welded / IR,ELBOW 45° ,#VALUE!,Pcs,GF (George Fischer),727158511,,,,,X,,,,,,X,
FITTING,CURVA 45°,20SW200010,20SAP200010,DN 40,PP STD - PN10,Butt Welded / IR,ELBOW 45° ,#VALUE!,Pcs,GF (George Fischer),727158510,,,,,X,X,,,,,X,
FITTING,CURVA 45°,20SW200011,20SAP200011,DN 32,PP STD - PN10,Butt Welded / IR,ELBOW 45° ,#VALUE!,Pcs,GF (George Fischer),727158509,,,,,X,X,,,,,X,
FITTING,CURVA 45°,20SW200012,20SAP200012,DN 25,PP STD - PN10,Butt Welded / IR,ELBOW 45° ,#VALUE!,Pcs,GF (George Fischer),727158508,,,,,X,X,,,,,X,
FITTING,CURVA 45°,20SW200013,20SAP200013,DN 20,PP STD - PN10,Butt Welded / IR,ELBOW 45° ,#VALUE!,Pcs,GF (George Fischer),727158507,,,,,X,X,,,,,X,
FITTING,CURVA 45°,20SW200014,20SAP200014,DN 15,PP STD - PN10,Butt Welded / IR,ELBOW 45° ,#VALUE!,Pcs,GF (George Fischer),727158506,,,,,X,X,,,,,X,
FITTING,CURVA 90° ,20SW200015,20SAP200015,DN 63,PP STD - PN10,Butt Welded / IR,90° BEND,,Pcs,GF (George Fischer),727018622,,,,,X,,,,,,X,
FITTING,CURVA 90°,20SW200016,20SAP200016,DN 50,PP STD - PN10,Butt Welded / IR,90° BEND,,Pcs,GF (George Fischer),727018611,,,,,X,,,,,,X,
FITTING,CURVA 90°,20SW200017,20SAP200017,DN 40,PP STD - PN10,Butt Welded / IR,90° BEND,,Pcs,GF (George Fischer),727018610,,,,,X,X,,,,,X,
FITTING,CURVA 90°,20SW200018,20SAP200018,DN 32,PP STD - PN10,Butt Welded / IR,90° BEND,,Pcs,GF (George Fischer),727018609,,,,,X,X,,,,,X,
FITTING,CURVA 90°,20SW200019,20SAP200019,DN 25,PP STD - PN10,Butt Welded / IR,90° BEND,,Pcs,GF (George Fischer),727018608,,,,,X,X,,,,,X,
FITTING,CURVA 90°,20SW200020,20SAP200020,DN 20,PP STD - PN10,Butt Welded / IR,90° BEND,,Pcs,GF (George Fischer),727018607,,,,,X,X,,,,,X,
FITTING,CURVA 90°,20SW200021,20SAP200021,DN 15,PP STD - PN10,Butt Welded / IR,90° BEND,,Pcs,GF (George Fischer),727018606,,,,,X,X,,,,,X,
FITTING,CURVA 45°,20SW200022,20SAP200022,DN 63,PP STD - PN10,Butt Welded / IR,45° BEND,,Pcs,GF (George Fischer),727158512,,,,,X,,,,,,X,
FITTING,CURVA 45°,20SW200023,20SAP200023,DN 50,PP STD - PN10,Butt Welded / IR,45° BEND,,Pcs,GF (George Fischer),727158511,,,,,X,,,,,,X,
FITTING,CURVA 45°,20SW200024,20SAP200024,DN 40,PP STD - PN10,Butt Welded / IR,45° BEND,,Pcs,GF (George Fischer),727158510,,,,,X,X,,,,,X,
FITTING,CURVA 45°,20SW200025,20SAP200025,DN 32,PP STD - PN10,Butt Welded / IR,45° BEND,,Pcs,GF (George Fischer),727158509,,,,,X,X,,,,,X,
FITTING,CURVA 45°,20SW200026,20SAP200026,DN 25,PP STD - PN10,Butt Welded / IR,45° BEND,,Pcs,GF (George Fischer),727158508,,,,,X,X,,,,,X,
FITTING,CURVA 45°,20SW200027,20SAP200027,DN 20,PP STD - PN10,Butt Welded / IR,45° BEND,,Pcs,GF (George Fischer),727158507,,,,,X,X,,,,,X,
FITTING,CURVA 45°,20SW200028,20SAP200028,DN 15,PP STD - PN10,Butt Welded / IR,45° BEND,,Pcs,GF (George Fischer),727158506,,,,,X,X,,,,,X,
FITTING,TEE,20SW200029,20SAP200029,DN 63,PP STD - PN10,Butt Welded / IR,EQUAL TEE ,,Pcs,GF (George Fischer),727208512,,,,,X,,,,,,X,
FITTING,TEE,20SW200030,20SAP200030,DN 50,PP STD - PN10,Butt Welded / IR,EQUAL TEE ,,Pcs,GF (George Fischer),727208511,,,,,X,,,,,,X,
FITTING,TEE,20SW200031,20SAP200031,DN 40,PP STD - PN10,Butt Welded / IR,EQUAL TEE ,,Pcs,GF (George Fischer),727208510,,,,,X,X,,,,,X,
FITTING,TEE,20SW200032,20SAP200032,DN 32,PP STD - PN10,Butt Welded / IR,EQUAL TEE ,,Pcs,GF (George Fischer),727208509,,,,,X,X,,,,,X,
FITTING,TEE,20SW200033,20SAP200033,DN 25,PP STD - PN10,Butt Welded / IR,EQUAL TEE ,,Pcs,GF (George Fischer),727208508,,,,,X,X,,,,,X,
